priority,id,athleteName,sport,year,nationalityAsCurrentlyListed,personType,caseSourceUrl,sourceLocator,followupStatus,heldReason
1,usada-c459cc791bed,Ella Nicholson,舉重,2024,美國,Athlete,https://www.usada.org/sanction-public-warning/ella-nicholson-accepts-public-warning/,U.S. Weightlifting Athlete Ella Nicholson Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
2,usada-18da72e16a59,Mariah Park,舉重,2023,美國,Athlete,https://www.usada.org/sanction/mariah-park-accepts-public-warning/,U.S. Weightlifting Athlete Mariah Park Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
3,usada-42343d04a699,Katelyn Kirby,舉重,2023,美國,Athlete,https://www.usada.org/sanction/katelyn-kirby-accepts-doping-sanction/,U.S. Weightlifting Athlete Katelyn Kirby Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
4,usada-cbf0f5afcf61,Evan Forrest,舉重,2023,美國,Athlete,https://www.usada.org/sanction/evan-forrest-accepts-doping-sanction/,U.S. Weightlifting Athlete Evan Forrest Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
5,usada-ea30e84daaab,Chad Olsen,舉重,2023,美國,Athlete,https://www.usada.org/sanction/chad-olen-accepts-doping-sanction/,U.S. Weightlifting Athlete Chad Olsen Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
6,usada-06ec1067d02c,Clint Jordan,舉重,2022,美國,Athlete,https://www.usada.org/sanction/clint-jordan-receives-doping-sanction/,U.S. Weightlifting Athlete Clint Jordan Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
7,usada-88685d4069ae,Keiser Witte,舉重,2022,美國,Athlete,https://www.usada.org/sanction/keiser-witte-accepts-doping-sanction/,U.S. Weightlifting Athlete Keiser Witte Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
8,usada-a37e4ef92abb,Christian Rodriguez Ocasio,舉重,2022,美國,Athlete,https://www.usada.org/sanction/christian-rodriguez-ocasio-accepts-doping-sanction/,U.S. Weightlifting Athlete Christian Rodriguez Ocasio Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
9,usada-003de817c96a,Hillary Tran,舉重,2021,美國,Athlete,https://www.usada.org/sanction/hillary-tran-accepts-doping-sanction/,U.S. Weightlifting Athlete Hillary Tran Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
10,usada-159a9ae15f32,Ian Wilson,舉重,2021,美國,Athlete,https://www.usada.org/sanction/ian-wilson-accepts-doping-sanction/,U.S. Weightlifting Athlete Ian Wilson Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
11,usada-22913fa5df5e,Ahje Palmer,舉重,2021,美國,Athlete,https://www.usada.org/sanction/ahje-palmer-accepts-doping-sanction/,U.S. Weightlifting Athlete Ahje Palmer Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
12,usada-6cd0ab12872b,Regina Hancock,舉重,2021,美國,Athlete,https://www.usada.org/sanction/regina-hancock-accepts-doping-sanction/,U.S. Weightlifting Athlete Regina Hancock Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
13,usada-7047ef231eac,Jacob Lacoste,舉重,2021,美國,Athlete,https://www.usada.org/sanction/jacob-lacoste-accepts-doping-sanction/,U.S. Weightlifting Athlete Jacob Lacoste Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
14,usada-86ac6516e020,Luis Gallardo,舉重,2021,美國,Athlete,https://www.usada.org/sanction/luis-gallardo-receives-doping-sanction/,U.S. Masters Weightlifting Athlete Luis Gallardo Receives Maximum Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
15,usada-956ec8818b4b,Jordan Adel,舉重,2021,美國,Athlete,https://www.usada.org/sanction/jordan-adel-accepts-doping-sanction/,U.S. Weightlifting Athlete Jordan Adel Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
16,usada-c0bcc1cac884,Bernabe Chavez,舉重,2021,美國,Athlete Support Personnel,https://www.usada.org/sanction/ernest-prempeh-bernabe-chavez-accept-sanctions/,U.S. Weightlifting Coaches Ernest Prempeh and Bernabe Chavez Accept Sanctions for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
17,usada-f72472960e40,Christian Buckley,舉重,2021,美國,Athlete,https://www.usada.org/sanction/christian-buckley-accepts-doping-sanction/,U.S. Weightlifting Athlete Christian Buckley Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
18,usada-80101a12888d,Danielle Rante,舉重,2020,美國,Athlete,https://www.usada.org/sanction/danielle-rante-accepts-doping-sanction/,U.S. Weightlifting Athlete Danielle Rante Accepts Sanction for Anti-Doping Rule Violation：2020-07-22 原案全部實質段落；Weightlifting Athlete Danielle Rante Granted a Reduced Sanction：2022-11-03 減刑公告全部實質段落,not_in_previous_44,
