id,name,year,sport,source_line,flags,status,status_scope,urls
1,Erriyon Knighton,2024,田徑,3,缺個案專屬來源,有問題,網站仍列暫時禁賽、調查中；AIU 上訴表已列 2025-09-12 CAS 四年禁賽，並列特定期間成績取消。,https://www.wada-ama.org/ | https://www.worldathletics.org/
2,Iga Swiatek,2024,網球,33,缺個案專屬來源,有問題,一個月禁賽正確，但模板式「因使用」欠缺裁決認定的藥物污染、非故意及無重大過失脈絡。不能將陽性結果直接寫成蓄意使用。,https://www.wada-ama.org/ | https://www.itftennis.com/
3,Jannik Sinner,2024,網球,63,缺個案專屬來源,有問題,三個月和解禁賽已更新；但 resultsCancelled=false 與同筆的印第安維爾斯積分、獎金被扣及 ITIA 公告矛盾，背景亦缺非故意污染脈絡。,https://www.wada-ama.org/ | https://www.itftennis.com/
4,Ryan Garcia (瑞恩·加西亞),2024,拳擊,93,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://dos.ny.gov/athletic-commission | https://www.vada-testing.org/
5,Paul Pogba,2023,足球,123,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
6,Fernando Tatis Jr.,2022,棒球,148,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
7,Kamila Valieva,2022,花式滑冰,173,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
8,Simona Halep,2022,網球,198,缺個案專屬來源,有問題,網站四年是原處分，CAS 已於 2024-03-05 改為九個月；「2022 年 7 月起」取消成績亦與裁決不符。,https://www.wada-ama.org/ | https://www.itftennis.com/
9,Blessing Okagbare,2021,田徑,228,缺個案專屬來源,有問題,網站十年尚未反映 2022 年追加一年後的十一年總禁賽。,https://www.wada-ama.org/ | https://www.worldathletics.org/
10,Jennifer Thompson,2021,健力,258,缺個案專屬來源,無法查證需人工確認,未取得足以支持「Jennifer Thompson 2021 Ostarine 污染、警告」的官方個案來源；同名或搜尋未命中均不能判定虛構。,https://www.wada-ama.org/
11,Sha'Carri Richardson,2021,田徑,283,缺個案專屬來源,有問題,事件與一個月禁賽有官方支持；資料的 S6 興奮劑分類有誤，大麻素屬 S8。,https://www.wada-ama.org/ | https://www.worldathletics.org/
12,Shelby Houlihan,2021,田徑,313,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
13,Christian Coleman,2020,田徑,343,缺個案專屬來源,有問題,兩年禁賽已被 CAS 改為十八個月；行蹤申報違規不是「使用錯過檢測被檢出」，亦不能分類為 M2 化學與物理操縱。,https://www.wada-ama.org/ | https://www.worldathletics.org/
14,Hafþór Júlíus Björnsson,2020,大力士,373,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
15,Adam Peaty,2019,游泳,398,缺個案專屬來源; TUE或合法用藥須分區,無法查證需人工確認,未取得支持 2019 年 Prednisolone 合法 TUE 之公開官方個案資料；資料內「合法 TUE」與背景「違規」也互相矛盾。,https://www.wada-ama.org/ | https://www.worldaquatics.com/
16,Blaine Sumner,2019,健力,428,缺個案專屬來源; TUE或合法用藥須分區,無法查證需人工確認,未取得支持 2019 年 Testosterone TUE 的官方個案資料；背景仍把其稱為違規。,https://www.wada-ama.org/
17,Deandre Ayton,2019,籃球,453,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
18,John Collins,2019,籃球,478,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
19,Josh Gordon,2019,美式足球,503,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
20,Stefi Cohen,2019,健力,528,缺個案專屬來源,無法查證需人工確認,未取得支持「2019 Cardarine 污染、禁賽六個月」的官方裁決；與無關新聞或社群猜測不能互相代證。,https://www.wada-ama.org/
21,TJ Dillashaw,2019,MMA/UFC,553,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
22,Wilson Chandler,2019,籃球,578,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
23,Wilson Kipsang,2019,田徑,603,缺個案專屬來源,有問題,網站列六年；AIU 官方清單及年度報告所列 Wilson Kipsang 處分為四年，涉及行蹤申報與干擾。,https://www.wada-ama.org/ | https://www.worldathletics.org/
24,Canelo Alvarez,2018,拳擊,633,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
25,Robinson Cano,2018,棒球,658,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
26,Ryan Lochte,2018,游泳,683,缺個案專屬來源,確認正確,限核心主張：2018 年超量靜脈輸注、禁用方法、十四個月禁賽，與 USADA 公告一致。這不等於整筆教育文字全部查證完成。,https://www.usada.org/ | https://www.cbssports.com/
27,Serena Williams,2018,網球,713,缺個案專屬來源; TUE或合法用藥須分區,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.itftennis.com/
28,Eddie Hall,2017,大力士,743,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
