source,name,sport,person_type,country_as_listed,taiwan_excluded,nationality_review,sanction,source_status,decision_url,named,resolved_or_announced_with_link,name_key,name_matches_existing,publication_approved
USADA,"Samelo do Amaral, Rider",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/rider-samelo-do-amaral-accepts-doping-sanction/,True,True,amaral do rider samelo,False,False
USADA,"Oprea, Erin",Triathlon,not separately classified in source table,,False,pending_individual_verification,5-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/erin-oprea-receives-doping-sanction/,True,True,erin oprea,False,False
USADA,"Boyle, Evan",Cycling,not separately classified in source table,,False,pending_individual_verification,16-Month Suspension; Loss of Results; Additional 2-Month Suspension,announced,https://www.usada.org/sanction/evan-boyle-accepts-sanction/ | https://www.usada.org/sanction/evan-boyle-violates-sanction/,True,True,boyle evan,False,False
USADA,"Meador, Laura",Weightlifting,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/laura-meador-receives-doping-sanction/,True,True,laura meador,False,False
USADA,"Porfírio de Araújo, Tayane",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/tayane-porfirio-de-araujo-accepts-doping-sanction-2/,True,True,araujo de porfirio tayane,False,False
USADA,"Oberst, Emily",Wheelchair Basketball,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction-public-warning/emily-oberst-accepts-public-warning/,True,True,emily oberst,False,False
USADA,"Hobbs, Aleia",Track and Field,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/aleia-hobbs-accepts-doping-sanction/,True,True,aleia hobbs,False,False
USADA,"MacDermott, Jara",Weightlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/jara-macdermott-accepts-doping-sanction/,True,True,jara macdermott,False,False
USADA,"Aguila-Ramos, Ariana",Paralympic Taekwondo,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/ariana-aguila-ramos-receives-sanction/,True,True,aguila ariana ramos,False,False
USADA,"Morris, Brian",Track and Field,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/brian-morris-receives-doping-sanction/,True,True,brian morris,False,False
USADA,"Koech, Jonah",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/jonah-koech-accepts-doping-sanction/,True,True,jonah koech,False,False
USADA,"Cantwell, Steven",Paralympic Snowboarding,not separately classified in source table,,False,pending_individual_verification,10-Year Suspension; Loss of Results -Second Violation. Sanction is tolled until athlete returns from retirement.,announced,https://www.usada.org/sanction/steven-cantwell-receives-second-doping-violation/,True,True,cantwell steven,False,False
USADA,"Miller, Adam",Field Hockey,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/adam-miller-receives-doping-sanction-arbitrator/,True,True,adam miller,False,False
USADA,"Zilcosky, Chase",Weightlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/chase-zilcosky-receives-doping-sanction-arbitrator/,True,True,chase zilcosky,False,False
USADA,"Trabing, Bert",Weightlifting,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/bert-trabing-receives-doping-sanction/,True,True,bert trabing,False,False
USADA,"Cantwell, Steven",Paralympic Snowboarding,not separately classified in source table,,False,pending_individual_verification,6-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/steven-cantwell-receives-doping-sanction/,True,True,cantwell steven,False,False
USADA,"Edwards, Monzavous “Rae”",Track and Field,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/monzavous-rae-edwards-accepts-doping-sanction/,True,True,edwards monzavous rae,False,False
USADA,"Quintero, Angel",Weightlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/angel-quintero-accepts-doping-sanction/,True,True,angel quintero,False,False
USADA,"Digenis, Hanna",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/hanna-digenis-accepts-doping-sanction/,True,True,digenis hanna,False,False
USADA,"Bracy-Williams, Marvin",Track and Field,not separately classified in source table,,False,pending_individual_verification,12-Year Suspension; Third Violation; Sanction tolled due to retirement,announced,https://www.usada.org/sanction/marvin-bracy-williams-third-rule-violation/,True,True,bracy marvin williams,False,False
USADA,"De Sousa, Roosevelt",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/roosevelt-de-sousa-accepts-doping-sanction/,True,True,de roosevelt sousa,False,False
USADA,"Anmaw Mengesha, Adane",Track and Field,not separately classified in source table,,False,pending_individual_verification,5-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/adane-anmaw-mengesha-accepts-doping-sanction/,True,True,adane anmaw mengesha,False,False
USADA,"Moon, Colleen",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/colleen-moon-accepts-doping-sanction/,True,True,colleen moon,False,False
USADA,"Gough, Annie",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/annie-gough-accepts-doping-sanction/,True,True,annie gough,False,False
USADA,"Cardozo Cabrera, Valeria",Cycling,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/valeria-cardozo-cabrera-accepts-doping-sanction/,True,True,cabrera cardozo valeria,False,False
USADA,"Aguilar, Anthony",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/anthony-aguilar-accepts-doping-sanction/,True,True,aguilar anthony,False,False
USADA,"Armstrong, Alia",Track and Field,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction-public-warning/alia-armstrong-accepts-public-warning/,True,True,alia armstrong,False,False
USADA,"Terry, Blaine",Weightlifting,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/blaine-terry-accepts-doping-sanction/,True,True,blaine terry,False,False
USADA,"Mitchell, Manteo",Bobsled,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/manteo-mitchell-receives-doping-sanction-arbitrator/ | https://www.usada.org/sanction-public-warning/manteo-mitchell-public-warning-sanction-violation/,True,True,manteo mitchell,False,False
USADA,"Phillips, Joshua",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/joshua-phillips-accepts-doping-sanction/,True,True,joshua phillips,False,False
USADA,"Brooks, Aaron",Wrestling,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/aaron-brooks-receives-doping-sanction-arbitrator/,True,True,aaron brooks,False,False
USADA,"Lesui, Roy",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/roy-lesui-accepts-doping-sanction/,True,True,lesui roy,False,False
USADA,"Sandor, Daniel ""Jason""",Wheelchair Rugby,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/daniel-jason-sandor-accepts-doping-sanction/,True,True,daniel jason sandor,False,False
USADA,"Winegar, Weston",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/weston-winegar-accepts-doping-sanction/,True,True,weston winegar,False,False
USADA,"Khaybulaev, Movlid",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension,announced,https://www.usada.org/sanction/movlid-khaybulaev-accepts-doping-sanction/,True,True,khaybulaev movlid,False,False
USADA,"Teague, Rachelyn",Weightlifting,not separately classified in source table,,False,pending_individual_verification,1-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/rachelyn-teague-accepts-doping-sanction/,True,True,rachelyn teague,False,False
USADA,"Kumar, Kartik",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/kartik-kumar-accepts-doping-sanction/,True,True,kartik kumar,False,False
USADA,"Bracy-Williams, Marvin",Track and Field,not separately classified in source table,,False,pending_individual_verification,45-Month Suspension; Loss of Results; Sanction tolled due to retirement,announced,https://www.usada.org/sanction/marvin-bracy-williams-accepts-doping-sanction/,True,True,bracy marvin williams,False,False
USADA,"Yuan, Bernard",Weightlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/bernard-yuan-accepts-doping-sanction/,True,True,bernard yuan,False,False
USADA,"Street, Semaj",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/semaj-street-accepts-doping-sanction/,True,True,semaj street,False,False
