batchId,name,nationality,disposition,caseType,outcome,notes,source
B01-01,"Pellegrini, Enrico",Italy,accepted,上訴改判／污染與過失程度,20個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-acknowledges-the-cas-award-partially-upholding-the-appeal-of-ski-mountaineering-athlete-enrico-pellegrini/
B01-02,"Schiller, Cameron",United States of America,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-softball-player-cameron-schiller-has-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
B01-03,"Skipper, Joe",United Kingdom,accepted,行蹤義務違規,18個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-acknowledges-the-international-hearing-panel-decision-sanctioning-ironman-athlete-joe-skipper/
B01-04,"Takzima, Aymane",Morocco,accepted,禁賽期間參與活動,追加3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-athlete-aymane-takzima-has-accepted-a-3-year-ban-for-his-breach-of-anti-doping-rules/
B01-05,"Mendybayev, Nursultan",Kazakhstan,accepted,物質相關違規／加重情節,6年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-mixed-martial-arts-athlete-nursultan-mendybayev-has-been-sanctioned-with-a-six-year-ban/
B01-06,"Georgieva, Yoana",Bulgaria,accepted,上訴改判／規避採樣與干擾,6年（另折抵已服暫時禁賽）,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/cas-imposes-six-year-ban-on-bulgarian-canoeist-yoana-georgieva/
B01-07,"Makhmedov, Syimyk",Kyrgyzstan,accepted,物質相關違規,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-wrestler-syimyk-makhmedov-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
B01-08,"Bat Erdene, Erdenesuvd",Mongolian,accepted,污染抗辯未獲證明,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-wrestler-erdenesuvd-bat-erdene-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
B01-09,"Mannai, Aziz",Tunisia,accepted,物質相關違規,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-weightlifter-aziz-mannai-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
B01-10,"Carboni, Giovanni",Italy,accepted,運動員生物護照,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-acknowledges-the-uci-anti-doping-tribunal-decision-sanctioning-giovanni-carboni/
B01-11,"Alghamdi, Abdulrahman Abdullah H",Saudi Arabia,accepted,物質相關違規／加重情節,6年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；名冊期間 N/A；以個案公告補足。,https://ita.sport/news/the-ita-reports-that-triathlete-abdulrahman-alghamdi-has-been-sanctioned-with-a-6-year-period-of-ineligibility/
B01-12,"Sanguino Matamoros, Jhohan David",Venezuela,accepted,多次檢體／同一首次違規程序,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；處分起訖採官方名冊；公告提供四年與及早承認，但未完整說明減刑前基礎。,https://ita.sport/news/the-ita-reports-that-weightlifter-jhohan-david-sanguino-matamoros-has-accepted-a-4-year-ban-for-his-adrv/
