id,athleteName,year,nationality,sport,reviewStatus,sourceLocator,sourceUrl
1,Erriyon Knighton,2024,美國,田徑,core_checked,見個案公告與勘誤紀錄,https://www.athleticsintegrity.org/disciplinary-process/appeal-decisions
2,Iga Swiatek,2024,波蘭,網球,core_checked,見個案公告與勘誤紀錄,https://www.itia.tennis/news/sanctions/polish-tennis-player-iga-swiatek-accepts-one-month-suspension-under-tennis-anti-doping-programme/
3,Jannik Sinner,2024,義大利,網球,core_checked,見個案公告與勘誤紀錄,https://www.itia.tennis/news/sanctions/itia-statement/
8,Simona Halep,2022,羅馬尼亞,網球,core_checked,見個案公告與勘誤紀錄,https://www.itia.tennis/news/sanctions/full-decision-in-the-case-of-simona-halep-v-itia/
9,Blessing Okagbare,2021,奈及利亞,田徑,core_checked,見個案公告與勘誤紀錄,https://www.athleticsintegrity.org/downloads/pdfs/know-us/en/Press-Release-blessing.pdf
11,Sha'Carri Richardson,2021,美國,田徑,core_checked,見個案公告與勘誤紀錄,https://www.usada.org/sanction/shacarri-richardson-accepts-doping-sanction/
13,Christian Coleman,2020,美國,田徑,core_checked,見個案公告與勘誤紀錄,https://www.athleticsintegrity.org/downloads/pdfs/know-us/en/AIU-PRESS-RELEASE-ATHLETICS-INTEGRITY-UNIT-WELCOMES-CAS-DECISION-TO-BAN-CHRISTIAN-COLEMAN.pdf
23,Wilson Kipsang,2019,肯亞,田徑,core_checked,見個案公告與勘誤紀錄,https://www.athleticsintegrity.org/downloads/pdfs/disciplinary-process/en/Latest-Santions-AUGUST-2020.pdf
26,Ryan Lochte,2018,美國,游泳,core_checked,見個案公告與勘誤紀錄,https://www.usada.org/sanction/ryan-lochte-accepts-doping-sanction/
41,Gil Roberts,2017,美國,田徑,core_checked,見個案公告與勘誤紀錄,https://www.usada.org/wp-content/uploads/07_12_17-Gil-Roberts-AAA-FinalAward.pdf
45,Nijat Rahimov,2016,哈薩克,舉重,core_checked,見個案公告與勘誤紀錄,https://ita.sport/news/the-ita-welcomes-decision-of-cas-add-to-sanction-weightlifter-nijat-rahimov-for-adrv-of-swapping-samples/
48,Simone Biles,2016,美國,體操,core_checked,見個案公告與勘誤紀錄,https://usagym.org/usa-gymnastics-statement-regarding-simone-biles-and-wada-hack/
58,Alexander Legkov,2014,俄羅斯,越野滑雪,primary_excerpt_checked,見個案公告與勘誤紀錄,https://jurisprudence.tas-cas.org/Shared%20Documents/5379.pdf
59,Alexander Tretiakov,2014,俄羅斯,俯式冰橇,primary_excerpt_checked,見個案公告與勘誤紀錄,https://jurisprudence.tas-cas.org/Shared%20Documents/5429.pdf
65,Sun Yang,2014,中國,游泳,core_checked,見個案公告與勘誤紀錄,https://aquaticsintegrity.com/wp-content/uploads/2023/01/Award_6148__FINAL_.pdf
134,C.J. Hunter,2000,美國,田徑,core_checked,見個案公告與勘誤紀錄,https://worldathletics.org/news/news/iaaf-comment-regarding-cj-hunter-allegations
sun-yang-2018,Sun Yang,2018,中國,游泳,core_checked,見個案公告與勘誤紀錄,https://aquaticsintegrity.com/wp-content/uploads/2023/01/Award_6148__FINAL_.pdf
ita-cd187870e58d,Enrico Pellegrini,2025,義大利,登山滑雪,core_checked,"Pellegrini, Enrico | Italy | 28 January 2025",https://ita.sport/news/the-ita-acknowledges-the-cas-award-partially-upholding-the-appeal-of-ski-mountaineering-athlete-enrico-pellegrini/
ita-f7e39df6dcca,Cameron Schiller,2025,美國,壘球,core_checked,"Schiller, Cameron | United States of America | 13 July 2025",https://ita.sport/news/the-ita-reports-that-softball-player-cameron-schiller-has-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
ita-34f66203f4e5,Joe Skipper,2025,英國,鐵人三項,core_checked,"Skipper, Joe | United Kingdom | 15 May 2025",https://ita.sport/news/the-ita-acknowledges-the-international-hearing-panel-decision-sanctioning-ironman-athlete-joe-skipper/
ita-a9d763121732,Aymane Takzima,2026,摩洛哥,空手道,core_checked,"Takzima, Aymane | Morocco | 20 November 2022",https://ita.sport/news/the-ita-reports-that-athlete-aymane-takzima-has-accepted-a-3-year-ban-for-his-breach-of-anti-doping-rules/
ita-e4463f173249,Nursultan Mendybayev,2025,哈薩克,綜合格鬥,core_checked,"Mendybayev, Nursultan | Kazakhstan | 22 June 2025",https://ita.sport/news/the-ita-reports-that-mixed-martial-arts-athlete-nursultan-mendybayev-has-been-sanctioned-with-a-six-year-ban/
ita-833ebc948a5c,Yoana Georgieva,2023,保加利亞,輕艇,core_checked,"Georgieva, Yoana | Bulgaria | 15 December 2023",https://ita.sport/news/cas-imposes-six-year-ban-on-bulgarian-canoeist-yoana-georgieva/
ita-007d4fee6f50,Syimyk Makhmedov,2024,吉爾吉斯,角力,core_checked,"Makhmedov, Syimyk | Kyrgyzstan | 11 October 2024",https://ita.sport/news/the-ita-reports-that-wrestler-syimyk-makhmedov-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
ita-eb2b272982be,Erdenesuvd Bat Erdene,2023,蒙古,角力,core_checked,"Bat Erdene, Erdenesuvd | Mongolian | 21 September 2023",https://ita.sport/news/the-ita-reports-that-wrestler-erdenesuvd-bat-erdene-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
ita-2f61a44eca24,Aziz Mannai,2022,突尼西亞,舉重,core_checked,"Mannai, Aziz | Tunisia | 27 September 2022",https://ita.sport/news/the-ita-reports-that-weightlifter-aziz-mannai-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
ita-aec1146d524c,Giovanni Carboni,2024,義大利,自行車,core_checked,"Carboni, Giovanni | Italy | 2 October 2024",https://ita.sport/news/the-ita-acknowledges-the-uci-anti-doping-tribunal-decision-sanctioning-giovanni-carboni/
ita-fcfe8d64fea6,Abdulrahman Abdullah H Alghamdi,2025,沙烏地阿拉伯,鐵人三項,core_checked,"Alghamdi, Abdulrahman Abdullah H | Saudi Arabia | 14 November 2025",https://ita.sport/news/the-ita-reports-that-triathlete-abdulrahman-alghamdi-has-been-sanctioned-with-a-6-year-period-of-ineligibility/
ita-68fd2d094cdf,Jhohan David Sanguino Matamoros,2024,委內瑞拉,舉重,core_checked,"Sanguino Matamoros, Jhohan David | Venezuela | 28 November 2024 and 13 December 2024",https://ita.sport/news/the-ita-reports-that-weightlifter-jhohan-david-sanguino-matamoros-has-accepted-a-4-year-ban-for-his-adrv/
ita-ac5538c7a75e,Brenda Uchenna Bosah,2026,奈及利亞,舉重,core_checked,"Bosah, Brenda Uchenna | Nigeria | 02 March 2026",https://ita.sport/news/the-ita-reports-that-weightlifter-brenda-uchenna-bosah-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
ita-9d8065b6dab5,Junhong Lin,2016,中國,自行車,core_checked,"Lin, Junhong | China | 16 January 2016 and 29 January 2016",https://ita.sport/news/the-ita-reports-that-rider-junhong-lin-has-accepted-a-4-year-period-of-ineligibility-for-her-anti-doping-rule-violation/
ita-226edfa93a4f,Mariana Bernal Sanchez,2025,墨西哥,射箭,core_checked,"Bernal Sanchez, Mariana | Mexico | 29 September 2025",https://ita.sport/news/the-ita-reports-that-archer-mariana-bernal-sanchez-has-accepted-a-3-year-ban-for-her-anti-doping-rule-violation/
ita-19210cce34cd,Enkhtur Tegshjargal,2025,蒙古,拳擊,core_checked,"Tegshjargal, Enkhtur | Mongolia | 29 November 2025",https://ita.sport/news/the-ita-reports-that-boxer-enkhtur-tegshjargal-accepted-a-2-year-sanction-for-three-whereabouts-failures/
ita-8e2a8b3f698b,Batu Han Yuksel,2023,土耳其,舉重,core_checked,"Yuksel, Batu Han | Türkiye | 28 July 2023",https://ita.sport/news/court-of-arbitration-for-sport-confirms-eight-year-ban-imposed-on-turkish-weightlifter-batu-han-yuksel/
ita-cd387471474e,Prathamesh Samadhan Jawkar,2025,印度,射箭,core_checked,"Jawkar, Prathamesh Samadhan | India | 1 October 2025",https://ita.sport/news/the-ita-reports-that-archer-prathamesh-samadhan-jawkar-has-accepted-a-2-year-sanction-for-three-whereabouts-failures/
ita-b38ccaa15f5a,Daniil Kuzmin,2026,俄羅斯,體操,core_checked,"Kuzmin, Daniil | Russia | 3 February 2026",https://ita.sport/news/the-ita-reports-that-gymnast-daniil-kuzmin-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
ita-ae0903caad5e,Gulsevar Urakova,2025,烏茲別克,桑搏,core_checked,"Urakova, Gulsevar | Uzbekistan | 4 August 2025 and 14 August 2025",https://ita.sport/news/the-ita-reports-that-two-sambo-athletes-have-been-sanctioned-with-a-5-and-3-year-period-of-ineligibility-respectively/
ita-07adfc13fc45,Ozodbek Murotov,2025,烏茲別克,桑搏,core_checked,"Murotov, Ozodbek | Uzbekistan | 12 August 2025",https://ita.sport/news/the-ita-reports-that-two-sambo-athletes-have-been-sanctioned-with-a-5-and-3-year-period-of-ineligibility-respectively/
ita-568a6741e703,Dayanch Omirov,2025,土庫曼,庫拉什,core_checked,"Omirov, Dayanch | Turkmenistan | 18 June 2025",https://ita.sport/news/the-ita-reports-that-kurash-athlete-dayanch-omirov-has-been-sanctioned-with-a-six-year-period-of-ineligibility/
ita-32742f90fa3f,Nihad Fozail Oglu Nihad,2025,亞塞拜然,綜合格鬥,core_checked,"Nihad, Nihad Fozail Oglu | Azerbaijan | 22 June 2025",https://ita.sport/news/the-ita-reports-that-mma-athlete-nihad-fozail-oglu-nihad-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
